episode,timestep,reward
6410,1086000,453.3195
6419,1088000,459.8762
6427,1090000,462.5781
6434,1092000,548.3528
6443,1094000,475.2387
6453,1096000,401.7525
6462,1098000,456.6883
6471,1100000,445.6126
6481,1102000,407.6819
6490,1104000,437.651
6500,1106000,401.2596
6509,1108000,419.1171
6520,1110000,378.9671
6528,1112000,419.9209
6537,1114000,461.8172
6545,1116000,466.4473
6555,1118000,402.4549
6565,1120000,441.51
6575,1122000,390.0647
6584,1124000,430.9904
6594,1126000,402.351
6604,1128000,384.8715
6614,1130000,464.351
6624,1132000,435.5312
6634,1134000,389.4295
6644,1136000,443.4032
6654,1138000,419.9195
6663,1140000,487.693
6672,1142000,425.2276
6680,1144000,481.8839
6689,1146000,464.1655
6697,1148000,474.5611
6706,1150000,414.692
6716,1152000,436.2463
6727,1154000,422.2639
6736,1156000,396.1442
6746,1158000,405.8295
6755,1160000,433.2985
6764,1162000,472.6352
6773,1164000,481.5885
6782,1166000,449.307
6792,1168000,429.002
6802,1170000,442.1153
6810,1172000,496.598
6819,1174000,406.2586
6828,1176000,424.566
6837,1178000,471.5207
6846,1180000,432.563
6856,1182000,440.2389
6864,1184000,459.1912
6873,1186000,489.536
6882,1188000,463.9547
6891,1190000,472.6078
6901,1192000,437.5781
6910,1194000,457.3524
6919,1196000,485.3213
6928,1198000,448.7414
6937,1200000,449.5222
6948,1202000,402.979
6958,1204000,442.2716
6969,1206000,398.2187
6978,1208000,491.0656
6987,1210000,438.9614
6997,1212000,455.8315
7006,1214000,436.5234
7016,1216000,439.9069
7026,1218000,419.8843
7036,1220000,450.5267
7047,1222000,378.9745
7056,1224000,456.9252
7065,1226000,458.2957
7075,1228000,452.8316
7083,1230000,467.5856
7092,1232000,459.8383
7102,1234000,464.9329
7110,1236000,492.6394
7120,1238000,412.8436
7131,1240000,389.5215
7140,1242000,487.6527
